item,domain,component,nhanes_file,variable,scoring_rule,mapping_note,source
1,Cognition,experience confusion/memory problems,PFQ_J,PFQ057,yes=1; no=0,,PMID42410780 Supplementary Table S1
2,Dependence,managing money difficulty,PFQ_J,PFQ061A,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
3,Dependence,walking for a quarter mile difficulty,PFQ_J,PFQ061B,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
4,Dependence,walking up ten steps difficulty,PFQ_J,PFQ061C,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
5,Dependence,stooping crouching kneeling difficulty,PFQ_J,PFQ061D,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
6,Dependence,lifting or carrying difficulty,PFQ_J,PFQ061E,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
7,Dependence,house chore difficulty,PFQ_J,PFQ061F,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
8,Dependence,preparing meals difficulty,PFQ_J,PFQ061G,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
9,Dependence,standing up from armless chair difficulty,PFQ_J,PFQ061I,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
10,Dependence,getting in and out of bed difficulty,PFQ_J,PFQ061J,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
11,Dependence,using fork knife drinking from cup difficulty,PFQ_J,PFQ061K,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
12,Dependence,dressing yourself difficulty,PFQ_J,PFQ061L,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
13,Dependence,standing for long periods difficulty,PFQ_J,PFQ061M,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
14,Dependence,grasp holding small objects difficulty,PFQ_J,PFQ061P,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
15,Dependence,attending social event difficulty,PFQ_J,PFQ061R,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
16,Dependence,leisure activity at home difficulty,PFQ_J,PFQ061S,no difficulty=0; some=0.33; much=0.66; unable=1,,PMID42410780 Supplementary Table S1
17,Dependence,push or pull large objects difficulty,PFQ_J,PFQ061T,no difficulty=0; some=0.33; much=0.66; unable=1,2017-2018 label is moving large objects; semantic correspondence to supplement wording,PMID42410780 Supplementary Table S1
18,Depressive Conditions,have little interest in doing things,DPQ_J,DPQ010,nearly every day=1; more than half=0.66; several days=0.33; no=0,,PMID42410780 Supplementary Table S1
